# id	name	level	title	reason
555	Ron Oakley	local	County Commissioner, District 1	no-trusted-result
556	Seth Weightman	local	County Commissioner, District 2	no-trusted-result
558	Gary Bradford	local	County Commissioner, District 4	no-trusted-result
560	Peggy Choudhry	local	County Commissioner, District 1 (Chair)	no-trusted-result
562	Viviana Janer	local	County Commissioner, District 3	no-trusted-result
563	Cheryl Grieb	local	County Commissioner, District 4	no-trusted-result
570	Craig Curry	local	County Commissioner, District 1	no-trusted-result
571	Kathy Bryant	local	County Commissioner, District 2 (Chair)	no-trusted-result
572	Michelle Stone	local	County Commissioner, District 3	no-trusted-result
573	Carl Zalak III	local	County Commissioner, District 4	no-trusted-result
575	Anthony Bonna	local	County Commissioner, District 1	no-trusted-result
576	Sean Mitchell	local	County Commissioner, District 2	no-trusted-result
577	Larry Leet	local	County Commissioner, District 3	no-trusted-result
578	Cathy Townsend	local	County Commissioner, District 4	no-trusted-result
580	Doug Smith	local	County Commissioner, District 1	dup:www.martin.fl.us
581	Stacey Hetherington	local	County Commissioner, District 2	no-trusted-result
583	Edward Ciampi	local	County Commissioner, District 4 (Chair)	no-trusted-result
585	Peter O'Bryan	local	County Commissioner, District 1	no-trusted-result
586	Susan Adams	local	County Commissioner, District 2	no-trusted-result
587	Joe Earman	local	County Commissioner, District 3 (Chair)	no-trusted-result
588	Laura Moss	local	County Commissioner, District 4	no-trusted-result
590	Jeff Bergosh	local	County Commissioner, District 1	no-trusted-result
591	Mike Kohler	local	County Commissioner, District 2	no-trusted-result
592	Lumon May	local	County Commissioner, District 3	no-trusted-result
593	Robert Bender	local	County Commissioner, District 4	no-trusted-result
594	Steven Barry	local	County Commissioner, District 5 (Chair)	no-trusted-result
596	Jeremy Matlow	local	County Commissioner, District 3	no-trusted-result
601	Mike Cella	local	County Commissioner, District 1	no-trusted-result
602	Alexandra Compere	local	County Commissioner, District 2	no-trusted-result
603	James Renninger	local	County Commissioner, District 3	no-trusted-result
604	Betsy Condon	local	County Commissioner, District 4 (Chair)	no-trusted-result
605	Kristen Burke	local	County Commissioner, District 5	no-trusted-result
606	John Martin	local	County Commissioner, District 1	dup:www.martin.fl.us
607	Aaron Bell	local	County Commissioner, District 2	no-trusted-result
608	Klynt Farmer	local	County Commissioner, District 3	no-trusted-result
609	Thomas Ford	local	County Commissioner, District 4 (Chair)	no-trusted-result
610	Jeff Gray	local	County Commissioner, District 5	no-trusted-result
611	Joe Tiseo	local	County Commissioner, District 1	no-trusted-result
612	Chris Constance	local	County Commissioner, District 2 (Chair)	no-trusted-result
614	Bill Truex	local	County Commissioner, District 4	no-trusted-result
615	Stephen R. Deutsch	local	County Commissioner, District 5	no-trusted-result
616	Jeff Kinnard	local	County Commissioner, District 1	no-trusted-result
617	Ron Kitchen Jr.	local	County Commissioner, District 2	dup:files.nc.gov
618	Ruthie Davis Schlabach	local	County Commissioner, District 3 (Chair)	no-trusted-result
619	Scott Carnahan	local	County Commissioner, District 4	no-trusted-result
620	Holly Davis	local	County Commissioner, District 5	no-trusted-result
621	Steve Champion	local	County Commissioner, District 1	no-trusted-result
623	Elizabeth Narverud	local	County Commissioner, District 3	no-trusted-result
624	John Allocco	local	County Commissioner, District 4	no-trusted-result
625	Brian Hawkins	local	County Commissioner, District 5	no-trusted-result
627	James Scholl	local	County Commissioner, District 2	no-trusted-result
628	Eddie Martinez	local	County Commissioner, District 3	no-trusted-result
631	Jay Zembower	local	County Commissioner, District 1	dup:www.orlandosentinel.com
633	Chris Hall	local	County Commissioner, District 1	no-trusted-result
637	Rick LoCastro	local	County Commissioner, District 2	no-trusted-result
638	Mark Smith	local	County Commissioner, District 1	no-trusted-result
639	Joseph Neunder	local	County Commissioner, District 2	no-trusted-result
640	Neil Rainford	local	County Commissioner, District 3	no-trusted-result
641	Mike Moran	local	County Commissioner, District 4	no-trusted-result
643	James Satcher	local	County Commissioner, District 1	no-trusted-result
647	Amanda Ballard	local	County Commissioner, District 4	no-trusted-result
648	Jason Bearden	local	County Commissioner, District 6	no-trusted-result
649	Carol Whitmore	local	County Commissioner, District 7 (At-Large)	no-trusted-result
655	Peggy Choudhry	local	County Commissioner, District 1	no-trusted-result
656	Viviana Janer	local	County Commissioner, District 2	no-trusted-result
660	Joe Earman	local	County Commissioner, District 1	no-trusted-result
662	Joe Flescher	local	County Commissioner, District 3	no-trusted-result
667	Chris Dzadovsky	local	County Commissioner, District 3	no-trusted-result
668	Jamie Fowler	local	County Commissioner, District 4	no-trusted-result
669	Cathy Townsend	local	County Commissioner, District 5	no-trusted-result
672	Harold Jenkins	local	County Commissioner, District 3 (Chair)	no-trusted-result
676	Chris Constance	local	County Commissioner, District 2	no-trusted-result
678	Bill Truex	local	County Commissioner, District 4 (Chair)	no-trusted-result
687	Sean Parks	local	County Commissioner, District 3	dup:cdn.lakecountyfl.gov
688	Douglas Shields	local	County Commissioner, District 4	dup:files.nc.gov
689	Leslie Campione	local	County Commissioner, District 5 (Chair)	dup:cdn.lakecountyfl.gov
690	Griff Griffitts	local	County Commissioner, District 5	no-trusted-result
693	Robert Carroll	local	County Commissioner, District 2 (Chair)	dup:www.baycountyfl.gov
695	Tim Murphy	local	County Commissioner, District 5	no-trusted-result
697	Ricky Jernigan	local	County Commissioner, District 3	dup:files.nc.gov
698	Bucky Nash	local	County Commissioner, District 2	no-trusted-result
703	Carolyn Ketchel	local	County Commissioner, District 2 (Chair)	no-trusted-result
708	Kerry Smith	local	County Commissioner, District 2	no-trusted-result
709	Sam Parker	local	County Commissioner, District 1	no-trusted-result
710	Craig Estep	local	County Commissioner, District 5	dup:sumtercountyfl.gov
712	Oren Miller	local	County Commissioner, District 3 (Chair)	dup:sumtercountyfl.gov
715	Steve Stroberger	local	County Commissioner, District 1	no-trusted-result
718	Ashlee Hofberger	local	County Commissioner, District 4	no-trusted-result
719	Steven Barry	local	County Commissioner, District 5	no-trusted-result
723	Thomas Ford	local	County Commissioner, District 4	dup:files.nc.gov
731	Kathy Bryant	local	County Commissioner, District 2	no-trusted-result
732	Jeff Gold	local	County Commissioner, District 3	no-trusted-result
733	Carl Zalak	local	County Commissioner, District 4	no-trusted-result
734	Michelle Stone	local	County Commissioner, District 5	no-trusted-result
736	John Allocco	local	County Commissioner, District 2	no-trusted-result
737	Brian Hawkins	local	County Commissioner, District 3	no-trusted-result
738	John Mitten	local	County Commissioner, District 4	dup:www.swfwmd.state.fl.us
740	Rebecca Bays	local	County Commissioner, District 1	no-trusted-result
742	Ron Kitchen Jr.	local	County Commissioner, District 3	no-trusted-result
743	Jeff Kinnard	local	County Commissioner, District 4	no-trusted-result
746	Carolyn Ketchel	local	County Commissioner, District 2	no-trusted-result
748	Trey Goodwin	local	County Commissioner, District 4	dup:myokaloosa.gov
751	Jim Scholl	local	County Commissioner, District 2	no-trusted-result
760	Robert Carroll	local	County Commissioner, District 1	dup:www.baycountyfl.gov
767	Oren Miller	local	County Commissioner, District 3	dup:elections.sumtercountyfl.gov
770	Tim Murphy	local	County Commissioner, District 1	no-trusted-result
